0	parameters	time (sec)	CPU memory (MB)	id	true_motif	find_motif	average_similarity
76	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun classic -mod anr <input file> -oc <output path>	2683	226	meme_76	0	10	0.2985571488502987
77	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun classic -mod anr <input file> -oc <output path>	5299	227	meme_77	4	9	0.9112867476061957
78	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun classic -mod anr <input file> -oc <output path>	5306	233	meme_78	4	9	0.8586340601371188
79	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun classic -mod anr <input file> -oc <output path>	4000	229	meme_79	3	10	0.7460631382356544
80	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun classic -mod anr <input file> -oc <output path>	3912	224	meme_80	3	10	0.7717193112942116
81	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun classic -mod anr <input file> -oc <output path>	3803	227	meme_81	4	9	0.8969285344522504
82	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun classic -mod anr <input file> -oc <output path>	3700	231	meme_82	4	9	0.7820049404800161
83	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun classic -mod anr <input file> -oc <output path>	3796	234	meme_83	3	10	0.7360527552080455
84	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun classic -mod anr <input file> -oc <output path>	3800	231	meme_84	3	10	0.8656497197767088
85	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun de -mod anr <input file> -oc <output path>	4006	463	meme_85	0	10	0.26115958821252433
86	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun de -mod anr <input file> -oc <output path>	4974	442	meme_86	0	10	0.27034634713534034
87	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun de -mod anr <input file> -oc <output path>	5296	435	meme_87	0	10	0.2878580141459493
88	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun de -mod anr <input file> -oc <output path>	4186	461	meme_88	0	10	0.32533403818739176
89	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun de -mod anr <input file> -oc <output path>	6874	439	meme_89	0	10	0.4111440995722407
90	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun de -mod anr <input file> -oc <output path>	7175	444	meme_90	0	10	0.4414050812597668
91	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun de -mod anr <input file> -oc <output path>	6884	454	meme_91	0	10	0.36002798086095017
92	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun de -mod anr <input file> -oc <output path>	7434	426	meme_92	0	10	0.39707741381868394
93	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun de -mod anr <input file> -oc <output path>	6700	437	meme_93	3	10	0.48153238903222306
94	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun de -mod anr <input file> -oc <output path>	6436	444	meme_94	1	10	0.3490070772296553
95	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun de -mod anr <input file> -oc <output path>	6805	437	meme_95	2	10	0.3017712532337347
96	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun de -mod anr <input file> -oc <output path>	6867	429	meme_96	2	10	0.5155671233746082
97	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun se -mod anr <input file> -oc <output path>	5681	432	meme_97	0	10	0.1132553039858869
98	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun se -mod anr <input file> -oc <output path>	5142	459	meme_98	0	10	0.07899071120723017
